City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Allapalli,IN,2022-09-26 22:25:17,19.4167,80.0667,73.71,97,100,1.79
68,Panjab,AF,2022-09-26 22:25:17,34.388,67.0233,42.49,36,0,6.62
69,Kalemie,CD,2022-09-26 22:25:18,-5.9475,29.1947,76.62,51,30,2.93
70,Dingle,PH,2022-09-26 22:25:18,10.9995,122.6711,76.06,92,100,6.98
71,Oni,GE,2022-09-26 22:25:18,42.5794,43.4425,51.58,48,2,5.97
72,Novoagansk,RU,2022-09-26 22:21:21,61.9449,76.6625,26.2,80,15,6.91
73,Lethem,GY,2022-09-26 22:25:19,3.3803,-59.7968,82.85,68,96,3.11
74,Caravelas,BR,2022-09-26 22:21:19,-17.7125,-39.2481,73.4,86,99,7.18
75,Aurad,IN,2022-09-26 22:25:19,18.25,77.4333,71.2,92,80,7.14
76,Oksfjord,NO,2022-09-26 22:25:20,70.2396,22.3479,48.38,90,73,14.85
77,Buenos Aires,AR,2022-09-26 22:23:53,-34.6132,-58.3772,69.98,72,0,3.44
78,Bud,US,2022-09-26 22:25:20,39.447,-86.1758,66.67,46,17,14.27
79,Longyearbyen,SJ,2022-09-26 22:25:21,78.2186,15.6401,42.64,75,40,2.3
80,Piranhas,BR,2022-09-26 22:25:21,-16.4269,-51.8222,81.03,59,80,3.4
81,Joacaba,BR,2022-09-26 22:25:22,-27.1781,-51.5047,61.7,98,100,2.15
82,Olafsvik,IS,2022-09-26 22:23:50,64.8945,-23.7142,44.46,49,90,7.49
83,Dikson,RU,2022-09-26 22:21:07,73.5069,80.5464,32.77,74,94,12.55
84,Stutterheim,ZA,2022-09-26 22:25:22,-32.5708,27.424,59.4,97,100,4.05
85,Priupskiy,RU,2022-09-26 22:25:23,53.9096,37.736,43.25,88,67,4.56
86,Kishapu,TZ,2022-09-26 22:25:23,-3.6167,33.8667,72.79,48,34,17.0
87,Urubicha,BO,2022-09-26 22:25:23,-15.3833,-62.95,91.67,27,64,2.51
88,Qaanaaq,GL,2022-09-26 22:25:24,77.484,-69.3632,25.18,77,83,6.64
89,Mar Del Plata,AR,2022-09-26 22:25:24,-38.0023,-57.5575,57.94,92,75,4.61
90,Asfi,MA,2022-09-26 22:25:24,32.2994,-9.2372,68.5,62,43,13.13
91,Bandarbeyla,SO,2022-09-26 22:25:25,9.4942,50.8122,77.13,84,100,22.84
92,Dasoguz,TM,2022-09-26 22:25:25,41.8363,59.9666,55.35,62,0,9.22
93,Senneterre,CA,2022-09-26 22:25:26,48.3835,-77.2328,49.69,94,100,1.25
94,Warmbad,NA,2022-09-26 22:25:26,-28.45,18.7333,53.4,60,0,8.14
95,Kinshasa,CD,2022-09-26 22:21:23,-4.3246,15.3215,79.38,66,68,1.83
96,Oktyabrskoye,RU,2022-09-26 22:25:27,43.0645,44.7417,42.94,93,12,6.71
97,Paamiut,GL,2022-09-26 22:25:27,61.994,-49.6678,43.39,94,100,30.94
98,Kamyshevatskaya,RU,2022-09-26 22:25:27,46.4132,37.9563,63.18,73,98,9.19
99,Sioux Lookout,CA,2022-09-26 22:20:58,50.1001,-91.917,46.47,57,75,9.22
100,Abha,SA,2022-09-26 22:25:28,18.2164,42.5053,66.02,20,0,6.91
101,Rocha,UY,2022-09-26 22:25:28,-34.4833,-54.3333,57.06,98,61,5.75
102,Guaruja,BR,2022-09-26 22:25:29,-23.9931,-46.2564,67.89,26,100,3.0
103,Palasa,IN,2022-09-26 22:25:29,18.7667,84.4167,77.29,87,96,4.72
104,Marsa Matruh,EG,2022-09-26 22:25:29,31.3525,27.2453,75.99,79,0,7.27
105,Nalut,LY,2022-09-26 22:25:30,30.3333,10.85,83.05,22,69,1.23
