City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Pinjaur,IN,30.7972,76.9172,72.63,72,0,5.61,clear sky
79,Hamilton,US,39.1834,-84.5333,76.39,34,0,3.44,clear sky
80,Sao Miguel,BR,-5.4667,-35.3667,84.97,58,6,19.46,clear sky
81,Sao Filipe,CV,14.8961,-24.4956,80.35,76,62,6.17,broken clouds
82,Luziania,BR,-16.2525,-47.9503,78.49,38,60,4.32,broken clouds
83,Rincon,US,32.296,-81.2354,75.9,42,20,6.91,few clouds
84,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,81,100,8.25,light rain
85,Chuy,UY,-33.6971,-53.4616,67.93,54,36,14.23,scattered clouds
86,Umm Kaddadah,SD,13.6017,26.6876,94.42,18,28,6.15,scattered clouds
87,Arlit,NE,18.7369,7.3853,100.35,10,14,18.21,few clouds
88,Torbay,CA,47.6666,-52.7314,64.89,48,20,14.97,few clouds
89,Kulebaki,RU,55.4133,42.5325,49.98,89,98,6.31,overcast clouds
90,Muhos,FI,64.808,25.9931,46.18,92,100,11.3,overcast clouds
91,Zheleznodorozhnyy,RU,55.7503,38.0042,45.36,82,100,7.4,overcast clouds
92,Thompson,CA,55.7435,-97.8558,30.36,86,75,17.27,broken clouds
93,Iskateley,RU,67.6803,53.1512,43.18,96,99,6.67,overcast clouds
94,Kamenka,RU,51.3223,42.7678,49.37,75,58,9.73,broken clouds
95,Upernavik,GL,72.7868,-56.1549,20.28,77,91,5.01,overcast clouds
96,Pietersburg,ZA,-23.9045,29.4688,74.25,41,0,9.22,clear sky
97,Douentza,ML,14.9951,-2.9517,99.01,22,14,7.34,few clouds
98,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,24,20,23.02,few clouds
99,Antalaha,MG,-14.9003,50.2788,69.53,87,0,8.77,clear sky
100,Leshukonskoye,RU,64.8989,45.7622,45.77,94,100,3.18,overcast clouds
101,Verkhoturye,RU,58.8627,60.8054,43.65,61,100,5.28,overcast clouds
102,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,19.57,few clouds
103,Pitimbu,BR,-7.4706,-34.8086,81.19,67,5,13.22,clear sky
104,Eirunepe,BR,-6.6603,-69.8736,98.58,33,89,3.76,overcast clouds
105,Buenos Aires,AR,-34.6132,-58.3772,71.28,53,0,12.66,clear sky
106,Mataruska Banja,RS,43.6901,20.6109,55.35,76,0,1.14,clear sky
107,Salym,RU,60.0625,71.4789,40.17,93,100,4.43,overcast clouds
108,Mekhe,SN,15.1097,-16.6218,89.15,49,53,14.16,broken clouds
109,San Luis,AR,-33.295,-66.3356,51.76,81,99,13.87,overcast clouds
110,Narsaq,GL,60.9167,-46.05,37.62,95,100,9.64,overcast clouds
111,Szentistvan,HU,47.7667,20.6667,56.8,60,100,4.14,overcast clouds
112,Bonthe,SL,7.5264,-12.505,81.61,74,67,10.8,broken clouds
113,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.28,62,40,10.42,scattered clouds
114,Dwarka,IN,22.2394,68.9678,82.6,67,3,13.69,clear sky
115,Alto Araguaia,BR,-17.3147,-53.2153,90.36,35,37,6.89,scattered clouds
116,Zhanaozen,KZ,43.3,52.8,66.25,11,2,16.64,clear sky
117,Namibe,AO,-15.1961,12.1522,65.03,84,30,9.53,scattered clouds
118,Hvittingfoss,NO,59.4833,10.0167,60.15,59,100,14.0,light rain
119,Gat,IL,31.61,34.7642,78.4,100,0,7.9,clear sky
120,Kruisfontein,ZA,-34.0033,24.7314,60.89,79,97,7.29,overcast clouds
121,Latur,IN,18.4,76.5833,73.76,77,100,7.65,heavy intensity rain
122,Georgetown,MY,5.4112,100.3354,78.73,95,40,5.75,scattered clouds
123,Vagur,FO,61.4732,-6.8119,48.25,76,93,34.27,overcast clouds
124,Tabatinga,BR,-4.2525,-69.9381,91.49,58,40,4.61,scattered clouds
125,Manta,EC,-0.95,-80.7333,78.58,69,40,12.66,scattered clouds
126,Vardo,NO,70.3705,31.1107,44.53,78,87,17.67,overcast clouds
127,Bayir,TR,37.2687,28.2167,70.32,41,0,6.24,clear sky
128,Boende,CD,-0.2167,20.8667,70.61,98,94,5.32,moderate rain
129,Saint-Augustin,CA,51.226,-58.6502,62.67,40,28,8.68,scattered clouds
130,Dikson,RU,73.5069,80.5464,31.12,69,100,1.36,overcast clouds
131,Male,MV,4.1748,73.5089,84.15,79,75,16.11,broken clouds
132,Rawson,AR,-43.3002,-65.1023,67.21,32,0,12.64,clear sky
133,Mana,GF,5.6592,-53.7767,86.47,62,7,12.57,clear sky
134,Clyde River,CA,70.4692,-68.5914,26.83,74,100,19.57,overcast clouds
135,Urengoy,RU,65.9667,78.3667,33.91,83,100,8.12,overcast clouds
136,Coihaique,CL,-45.5752,-72.0662,54.21,62,100,10.36,overcast clouds
137,Aksu,CN,41.1231,80.2644,59.13,27,31,5.57,scattered clouds
138,Paamiut,GL,61.994,-49.6678,37.08,91,100,4.0,light rain
139,Huntsville,US,34.7304,-86.5861,78.13,32,0,8.05,clear sky
140,Bengkulu,ID,-3.8004,102.2655,76.59,84,100,3.8,moderate rain
141,Coquimbo,CL,-29.9533,-71.3436,64.13,59,20,14.97,few clouds
142,Hofn,IS,64.2539,-15.2082,46.42,53,20,12.66,few clouds
143,Korla,CN,41.7597,86.1469,58.05,27,0,9.93,clear sky
144,Lagoa,PT,39.05,-27.9833,68.99,82,100,22.46,light rain
145,Ilhabela,BR,-23.7781,-45.3581,70.5,91,92,5.64,overcast clouds
146,Santiago,CL,-33.4569,-70.6483,64.29,56,75,6.91,broken clouds
147,Bollnas,SE,61.3482,16.3946,57.0,94,100,12.77,overcast clouds
148,Nsanje,MW,-16.92,35.262,87.93,34,0,11.74,clear sky
149,Sorland,NO,67.667,12.6934,50.65,73,89,17.49,overcast clouds
150,Iturama,BR,-19.7281,-50.1956,94.23,32,0,1.43,clear sky
151,Agadir,MA,30.4202,-9.5982,73.85,54,95,4.76,overcast clouds
152,Krasnoselkup,RU,65.7,82.4667,33.01,97,95,9.93,overcast clouds
153,Narok,KE,-1.0783,35.8601,61.38,76,64,2.39,light rain
154,Hit,IQ,33.6416,42.8251,89.6,13,0,7.92,clear sky
155,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,100,12.66,overcast clouds
156,Rocha,UY,-34.4833,-54.3333,70.41,51,50,14.0,scattered clouds
157,Darab,IR,28.7519,54.5444,81.95,12,0,20.36,clear sky
158,Beloha,MG,-25.1667,45.05,69.89,84,0,6.15,clear sky
159,Berlevag,NO,70.8578,29.0864,42.6,82,95,19.13,overcast clouds
160,Galway,IE,53.2719,-9.0489,53.76,64,14,21.07,few clouds
161,Hrodna,BY,53.6884,23.8258,52.14,76,100,9.4,overcast clouds
162,Moose Factory,CA,51.2585,-80.6094,50.0,93,100,2.3,mist
163,Little Current,CA,45.9793,-81.9248,66.42,58,98,7.63,overcast clouds
164,Faya,SA,18.3851,42.4509,72.12,33,58,10.94,broken clouds
165,Arona,ES,28.0996,-16.681,80.91,74,100,24.16,overcast clouds
166,Bolobo,CD,-2.1667,16.2333,77.76,75,88,1.92,light rain
167,Mayumba,GA,-3.432,10.6554,76.57,87,87,8.81,overcast clouds
168,Maceio,BR,-9.6658,-35.7353,85.44,61,40,11.5,scattered clouds
169,Novoomskiy,RU,54.8415,73.3017,48.22,40,0,8.95,clear sky
170,Eyl,SO,7.9803,49.8164,78.42,79,73,17.0,broken clouds
171,Mangai,CD,-4.05,19.5333,75.96,74,95,1.9,light rain
172,Abu Samrah,SY,35.3029,37.1841,75.88,39,63,6.24,broken clouds
173,Tambovka,RU,50.0969,128.0489,27.91,60,1,7.43,clear sky
174,Virginia Beach,US,36.8529,-75.978,60.03,92,100,10.36,overcast clouds
175,Nushki,PK,29.5542,66.0215,74.1,10,0,3.91,clear sky
176,Kastamonu,TR,41.5,33.6667,49.86,83,100,3.56,overcast clouds
177,Kindia,GN,10.0569,-12.8658,78.01,88,57,2.01,light rain
178,Bangangte,CM,5.1409,10.5198,62.37,97,100,3.0,light rain
179,Sylacauga,US,33.1732,-86.2516,78.89,35,100,0.0,overcast clouds
180,Luderitz,NA,-26.6481,15.1594,57.72,76,4,20.76,clear sky
181,Constantine,DZ,36.365,6.6147,67.41,72,75,8.05,broken clouds
182,Blagoveshchensk,RU,50.2667,127.5333,27.21,63,20,4.47,few clouds
183,Riyadh,SA,24.6877,46.7219,89.74,14,1,7.83,clear sky
